표준 증상명,유사어 예시
기억력 저하,"건망증, 기억력 저하, 기억이 안 남, 깜빡거림, 방향 감각 상실, 성격 변화, 자꾸 잊어버림"
방향 감각 상실,"건망증, 기억력 저하, 기억이 안 남, 깜빡거림, 방향 감각 상실, 성격 변화, 자꾸 잊어버림"
성격 변화,"건망증, 기억력 저하, 기억이 안 남, 깜빡거림, 방향 감각 상실, 성격 변화, 자꾸 잊어버림"
두통,"균형 안 맞음, 두통, 머리 아픔, 머리가 띵함, 빙빙 돎, 어지러움, 지끈거림, 특별한 증상 없음, 편두통, 현기증"
어지럼증,"균형 안 맞음, 두통, 머리 아픔, 머리가 띵함, 빙빙 돎, 어지러움, 지끈거림, 특별한 증상 없음, 편두통, 현기증"
특별한 증상 없음,"균형 안 맞음, 두통, 머리 아픔, 머리가 띵함, 빙빙 돎, 어지러움, 지끈거림, 특별한 증상 없음, 편두통, 현기증"
잦은 갈증,"갈증, 기운 없음, 무기력함, 물을 자주 마심, 밤에 소변, 소변 자주 봄, 소변이 자주 마려움, 입이 마름, 피곤함, 피로감, 화장실 자주 감"
잦은 소변,"갈증, 기운 없음, 무기력함, 물을 자주 마심, 밤에 소변, 소변 자주 봄, 소변이 자주 마려움, 입이 마름, 피곤함, 피로감, 화장실 자주 감"
피로감,"갈증, 기운 없음, 무기력함, 물을 자주 마심, 밤에 소변, 소변 자주 봄, 소변이 자주 마려움, 입이 마름, 피곤함, 피로감, 화장실 자주 감"
호흡곤란,"가슴이 답답함, 기운 없음, 다리 붓기, 몸이 붓는다, 무기력함, 발 붓기, 숨 쉬기 힘듦, 숨이 참, 피곤함, 피로감"
피로감,"가슴이 답답함, 기운 없음, 다리 붓기, 몸이 붓는다, 무기력함, 발 붓기, 숨 쉬기 힘듦, 숨이 참, 피곤함, 피로감"
하지 부종,"가슴이 답답함, 기운 없음, 다리 붓기, 몸이 붓는다, 무기력함, 발 붓기, 숨 쉬기 힘듦, 숨이 참, 피곤함, 피로감"
기침,"가래, 가래가 많음, 가슴이 답답함, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌, 숨 쉬기 힘듦, 숨이 참"
가래,"가래, 가래가 많음, 가슴이 답답함, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌, 숨 쉬기 힘듦, 숨이 참"
호흡곤란,"가래, 가래가 많음, 가슴이 답답함, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌, 숨 쉬기 힘듦, 숨이 참"
요통,"쉽게 부러지는 뼈, 요통, 키 감소"
쉽게 부러지는 뼈,"쉽게 부러지는 뼈, 요통, 키 감소"
키 감소,"쉽게 부러지는 뼈, 요통, 키 감소"
관절통,"관절 소리, 관절통, 뻣뻣함"
뻣뻣함,"관절 소리, 관절통, 뻣뻣함"
관절 소리,"관절 소리, 관절통, 뻣뻣함"
배뇨 곤란,"배뇨 곤란, 빈뇨, 잔뇨감"
빈뇨,"배뇨 곤란, 빈뇨, 잔뇨감"
잔뇨감,"배뇨 곤란, 빈뇨, 잔뇨감"
편측 마비,"눈 침침함, 눈이 잘 안 보임, 시야 흐림, 언어장애, 편측 마비"
언어장애,"눈 침침함, 눈이 잘 안 보임, 시야 흐림, 언어장애, 편측 마비"
시야 장애,"눈 침침함, 눈이 잘 안 보임, 시야 흐림, 언어장애, 편측 마비"
시야 흐림,"눈 침침함, 눈이 잘 안 보임, 시력 저하, 시야 흐림"
눈부심,"눈 침침함, 눈이 잘 안 보임, 시력 저하, 시야 흐림"
시력 저하,"눈 침침함, 눈이 잘 안 보임, 시력 저하, 시야 흐림"
중심 시야 흐림,"눈 침침함, 눈이 잘 안 보임, 시야 흐림, 직선 왜곡"
직선 왜곡,"눈 침침함, 눈이 잘 안 보임, 시야 흐림, 직선 왜곡"
무기력,"무기력, 수면장애, 식욕 저하"
식욕 저하,"무기력, 수면장애, 식욕 저하"
수면장애,"무기력, 수면장애, 식욕 저하"
복통,"구토, 복통, 속쓰림"
속쓰림,"구토, 복통, 속쓰림"
구토,"구토, 복통, 속쓰림"
배변 곤란,"배변 곤란, 복부 팽만감"
복부 팽만감,"배변 곤란, 복부 팽만감"
소변 누출,"밤에 소변, 소변 자주 봄, 소변이 자주 마려움, 절박뇨, 화장실 자주 감"
절박뇨,"밤에 소변, 소변 자주 봄, 소변이 자주 마려움, 절박뇨, 화장실 자주 감"
손 떨림,"느린 동작, 손 떨림, 자세 불안정"
느린 동작,"느린 동작, 손 떨림, 자세 불안정"
자세 불안정,"느린 동작, 손 떨림, 자세 불안정"
청력 저하,"대화 어려움, 청력 저하"
대화 어려움,"대화 어려움, 청력 저하"
잠들기 어려움,"자주 깨는 수면, 잠들기 어려움"
자주 깨는 수면,"자주 깨는 수면, 잠들기 어려움"
가려움,"가려움, 건조함, 붉은 반점, 피부 발진, 피부 트러블"
피부 벗겨짐,"가려움, 건조함, 붉은 반점, 피부 발진, 피부 트러블"
불규칙한 맥박,"가슴이 답답함, 균형 안 맞음, 불규칙한 맥박, 빙빙 돎, 숨 쉬기 힘듦, 숨이 참, 어지러움, 현기증"
어지럼증,"가슴이 답답함, 균형 안 맞음, 불규칙한 맥박, 빙빙 돎, 숨 쉬기 힘듦, 숨이 참, 어지러움, 현기증"
호흡곤란,"가슴이 답답함, 균형 안 맞음, 불규칙한 맥박, 빙빙 돎, 숨 쉬기 힘듦, 숨이 참, 어지러움, 현기증"
혈변,"변비, 체중감소, 혈변"
변비,"변비, 체중감소, 혈변"
체중감소,"변비, 체중감소, 혈변"
상복부 통증,"식욕부진, 쑤심, 아파요, 아픔, 찌릿함, 체중감소, 통증"
식욕부진,"식욕부진, 쑤심, 아파요, 아픔, 찌릿함, 체중감소, 통증"
체중감소,"식욕부진, 쑤심, 아파요, 아픔, 찌릿함, 체중감소, 통증"
통증,"쑤심, 아파요, 아픔, 움직임 제한, 찌릿함, 통증"
움직임 제한,"쑤심, 아파요, 아픔, 움직임 제한, 찌릿함, 통증"
음식 삼키기 어려움,"기침, 기침이 멈추지 않음, 마른기침, 음식 삼키기 어려움"
기침 유발,"기침, 기침이 멈추지 않음, 마른기침, 음식 삼키기 어려움"
넘어짐,"넘어짐, 쑤심, 아파요, 아픔, 외상, 찌릿함, 통증"
외상,"넘어짐, 쑤심, 아파요, 아픔, 외상, 찌릿함, 통증"
통증,"넘어짐, 쑤심, 아파요, 아픔, 외상, 찌릿함, 통증"
복통,"변비 반복, 복통, 설사"
설사,"변비 반복, 복통, 설사"
변비 반복,"변비 반복, 복통, 설사"
가슴 통증,"가슴이 답답함, 숨 쉬기 힘듦, 숨이 참, 식은땀, 쑤심, 아파요, 아픔, 찌릿함, 통증"
호흡곤란,"가슴이 답답함, 숨 쉬기 힘듦, 숨이 참, 식은땀, 쑤심, 아파요, 아픔, 찌릿함, 통증"
식은땀,"가슴이 답답함, 숨 쉬기 힘듦, 숨이 참, 식은땀, 쑤심, 아파요, 아픔, 찌릿함, 통증"
운동 시 흉통,"쑤심, 아파요, 아픔, 운동 시 흉통, 찌릿함, 통증"
목/팔 통증,"쑤심, 아파요, 아픔, 운동 시 흉통, 찌릿함, 통증"
기침,"가래, 가래가 많음, 가슴 답답함, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌"
가래,"가래, 가래가 많음, 가슴 답답함, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌"
가슴 답답함,"가래, 가래가 많음, 가슴 답답함, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌"
발열,"가래, 가래가 많음, 가슴이 답답함, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌, 발열, 숨 쉬기 힘듦, 숨이 참"
기침,"가래, 가래가 많음, 가슴이 답답함, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌, 발열, 숨 쉬기 힘듦, 숨이 참"
가래,"가래, 가래가 많음, 가슴이 답답함, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌, 발열, 숨 쉬기 힘듦, 숨이 참"
호흡곤란,"가래, 가래가 많음, 가슴이 답답함, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌, 발열, 숨 쉬기 힘듦, 숨이 참"
피로감,"기운 없음, 무기력함, 복수, 피곤함, 피로감, 황달"
황달,"기운 없음, 무기력함, 복수, 피곤함, 피로감, 황달"
복수,"기운 없음, 무기력함, 복수, 피곤함, 피로감, 황달"
체중 감소,"기운 없음, 무기력함, 복통, 체중 감소, 피곤함, 피로감"
복통,"기운 없음, 무기력함, 복통, 체중 감소, 피곤함, 피로감"
피로감,"기운 없음, 무기력함, 복통, 체중 감소, 피곤함, 피로감"
상복부 통증,"구역, 구토, 쑤심, 아파요, 아픔, 찌릿함, 통증"
구역,"구역, 구토, 쑤심, 아파요, 아픔, 찌릿함, 통증"
구토,"구역, 구토, 쑤심, 아파요, 아픔, 찌릿함, 통증"
체중 감소,"쑤심, 아파요, 아픔, 찌릿함, 체중 감소, 통증, 황달"
황달,"쑤심, 아파요, 아픔, 찌릿함, 체중 감소, 통증, 황달"
상복부 통증,"쑤심, 아파요, 아픔, 찌릿함, 체중 감소, 통증, 황달"
부종,"기운 없음, 다리 붓기, 몸이 붓는다, 무기력함, 발 붓기, 밤에 소변, 소변 자주 봄, 소변이 자주 마려움, 피곤함, 피로감, 화장실 자주 감"
피로,"기운 없음, 다리 붓기, 몸이 붓는다, 무기력함, 발 붓기, 밤에 소변, 소변 자주 봄, 소변이 자주 마려움, 피곤함, 피로감, 화장실 자주 감"
소변량 감소,"기운 없음, 다리 붓기, 몸이 붓는다, 무기력함, 발 붓기, 밤에 소변, 소변 자주 봄, 소변이 자주 마려움, 피곤함, 피로감, 화장실 자주 감"
배뇨통,"발열, 밤에 소변, 배뇨통, 소변 자주 봄, 소변이 자주 마려움, 화장실 자주 감"
잦은 소변,"발열, 밤에 소변, 배뇨통, 소변 자주 봄, 소변이 자주 마려움, 화장실 자주 감"
발열,"발열, 밤에 소변, 배뇨통, 소변 자주 봄, 소변이 자주 마려움, 화장실 자주 감"
배뇨 곤란,"배뇨 곤란, 혈뇨"
혈뇨,"배뇨 곤란, 혈뇨"
배뇨통,"밤에 소변, 배뇨통, 소변 자주 봄, 소변이 자주 마려움, 잔뇨감, 화장실 자주 감"
잦은 소변,"밤에 소변, 배뇨통, 소변 자주 봄, 소변이 자주 마려움, 잔뇨감, 화장실 자주 감"
잔뇨감,"밤에 소변, 배뇨통, 소변 자주 봄, 소변이 자주 마려움, 잔뇨감, 화장실 자주 감"
손가락 관절통,"뻣뻣함, 손가락 관절통"
뻣뻣함,"뻣뻣함, 손가락 관절통"
발가락 관절통,"발가락 관절통, 열감"
열감,"발가락 관절통, 열감"
피로,"가려움, 건조함, 기운 없음, 무기력함, 발열, 붉은 반점, 피곤함, 피로감, 피부 발진, 피부 트러블"
발열,"가려움, 건조함, 기운 없음, 무기력함, 발열, 붉은 반점, 피곤함, 피로감, 피부 발진, 피부 트러블"
피부 발진,"가려움, 건조함, 기운 없음, 무기력함, 발열, 붉은 반점, 피곤함, 피로감, 피부 발진, 피부 트러블"
기분 저하,"기분 저하, 무기력, 불면"
무기력,"기분 저하, 무기력, 불면"
불면,"기분 저하, 무기력, 불면"
초조함,"긴장감, 두근거림, 초조함"
두근거림,"긴장감, 두근거림, 초조함"
긴장감,"긴장감, 두근거림, 초조함"
항문 통증,"쑤심, 아파요, 아픔, 종물, 찌릿함, 출혈, 통증"
출혈,"쑤심, 아파요, 아픔, 종물, 찌릿함, 출혈, 통증"
종물,"쑤심, 아파요, 아픔, 종물, 찌릿함, 출혈, 통증"
항문 통증,"고름, 발열, 쑤심, 아파요, 아픔, 찌릿함, 통증"
고름,"고름, 발열, 쑤심, 아파요, 아픔, 찌릿함, 통증"
발열,"고름, 발열, 쑤심, 아파요, 아픔, 찌릿함, 통증"
배변 시 통증,"쑤심, 아파요, 아픔, 찌릿함, 출혈, 통증"
출혈,"쑤심, 아파요, 아픔, 찌릿함, 출혈, 통증"
피로감,"기운 없음, 무기력함, 체중 증가, 추위 민감, 피곤함, 피로감"
체중 증가,"기운 없음, 무기력함, 체중 증가, 추위 민감, 피곤함, 피로감"
추위 민감,"기운 없음, 무기력함, 체중 증가, 추위 민감, 피곤함, 피로감"
불면,"불면, 손떨림, 체중 감소"
체중 감소,"불면, 손떨림, 체중 감소"
손떨림,"불면, 손떨림, 체중 감소"
경부 종물,"경부 종물, 쉰 목소리"
쉰 목소리,"경부 종물, 쉰 목소리"
피로감,"균형 안 맞음, 기운 없음, 무기력함, 빙빙 돎, 어지러움, 창백함, 피곤함, 피로감, 현기증"
창백함,"균형 안 맞음, 기운 없음, 무기력함, 빙빙 돎, 어지러움, 창백함, 피곤함, 피로감, 현기증"
어지럼증,"균형 안 맞음, 기운 없음, 무기력함, 빙빙 돎, 어지러움, 창백함, 피곤함, 피로감, 현기증"
피로,"기운 없음, 무기력함, 잦은 감염, 출혈 경향, 피곤함, 피로감"
잦은 감염,"기운 없음, 무기력함, 잦은 감염, 출혈 경향, 피곤함, 피로감"
출혈 경향,"기운 없음, 무기력함, 잦은 감염, 출혈 경향, 피곤함, 피로감"
림프절 종창,"림프절 종창, 발열, 체중감소"
발열,"림프절 종창, 발열, 체중감소"
체중감소,"림프절 종창, 발열, 체중감소"
속쓰림,"목 이물감, 속쓰림, 트림"
목 이물감,"목 이물감, 속쓰림, 트림"
트림,"목 이물감, 속쓰림, 트림"
삼킴 곤란,"삼킴 곤란, 체중감소"
체중감소,"삼킴 곤란, 체중감소"
무증상,"간헐적 혈변, 무증상"
간헐적 혈변,"간헐적 혈변, 무증상"
갑작스런 호흡곤란,"가슴이 답답함, 숨 쉬기 힘듦, 숨이 참, 흉통"
흉통,"가슴이 답답함, 숨 쉬기 힘듦, 숨이 참, 흉통"
기침,"기침, 기침이 멈추지 않음, 마른기침, 발열, 체중감소"
체중감소,"기침, 기침이 멈추지 않음, 마른기침, 발열, 체중감소"
발열,"기침, 기침이 멈추지 않음, 마른기침, 발열, 체중감소"
기침,"가래, 가래가 많음, 객혈, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌"
가래,"가래, 가래가 많음, 객혈, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌"
객혈,"가래, 가래가 많음, 객혈, 기침, 기침이 멈추지 않음, 마른기침, 목에 가래 낌"
어지럼증,"균형 안 맞음, 빙빙 돎, 실신, 어지러움, 현기증"
실신,"균형 안 맞음, 빙빙 돎, 실신, 어지러움, 현기증"
심잡음,"가슴이 답답함, 기운 없음, 무기력함, 숨 쉬기 힘듦, 숨이 참, 심잡음, 피곤함, 피로감"
호흡곤란,"가슴이 답답함, 기운 없음, 무기력함, 숨 쉬기 힘듦, 숨이 참, 심잡음, 피곤함, 피로감"
피로감,"가슴이 답답함, 기운 없음, 무기력함, 숨 쉬기 힘듦, 숨이 참, 심잡음, 피곤함, 피로감"
두근거림,"균형 안 맞음, 두근거림, 빙빙 돎, 어지러움, 현기증"
어지럼증,"균형 안 맞음, 두근거림, 빙빙 돎, 어지러움, 현기증"
무증상,"무증상, 혈중 지질 이상"
혈중 지질 이상,"무증상, 혈중 지질 이상"
호흡곤란,"가슴이 답답함, 손발 저림, 숨 쉬기 힘듦, 숨이 참"
손발 저림,"가슴이 답답함, 손발 저림, 숨 쉬기 힘듦, 숨이 참"
호흡곤란,"가슴이 답답함, 기침, 기침이 멈추지 않음, 마른기침, 숨 쉬기 힘듦, 숨이 참"
마른 기침,"가슴이 답답함, 기침, 기침이 멈추지 않음, 마른기침, 숨 쉬기 힘듦, 숨이 참"
잠들기 어려움,"자주 깨는 잠, 잠들기 어려움"
자주 깨는 잠,"자주 깨는 잠, 잠들기 어려움"
복부 통증,"발열, 쑤심, 아파요, 아픔, 찌릿함, 통증"
발열,"발열, 쑤심, 아파요, 아픔, 찌릿함, 통증"
고열,"고열, 의식 저하, 저혈압"
의식 저하,"고열, 의식 저하, 저혈압"
저혈압,"고열, 의식 저하, 저혈압"
복부 박동성 덩이,"복부 박동성 덩이, 흉통"
흉통,"복부 박동성 덩이, 흉통"
무의식,"무의식, 심정지"
심정지,"무의식, 심정지"
혼동,"의식 저하, 혼동"
의식 저하,"의식 저하, 혼동"
측복부 통증,"발열, 배뇨통, 쑤심, 아파요, 아픔, 찌릿함, 통증"
발열,"발열, 배뇨통, 쑤심, 아파요, 아픔, 찌릿함, 통증"
배뇨통,"발열, 배뇨통, 쑤심, 아파요, 아픔, 찌릿함, 통증"
옆구리 통증,"쑤심, 아파요, 아픔, 찌릿함, 통증, 혈뇨"
혈뇨,"쑤심, 아파요, 아픔, 찌릿함, 통증, 혈뇨"
복부 팽만,"구토, 복부 팽만, 복통"
구토,"구토, 복부 팽만, 복통"
복통,"구토, 복부 팽만, 복통"
혈변,"빈혈, 혈변, 흑변"
흑변,"빈혈, 혈변, 흑변"
빈혈,"빈혈, 혈변, 흑변"
두통,"두통, 머리 아픔, 머리가 띵함, 반신마비, 의식 저하, 지끈거림, 편두통"
의식 저하,"두통, 머리 아픔, 머리가 띵함, 반신마비, 의식 저하, 지끈거림, 편두통"
반신마비,"두통, 머리 아픔, 머리가 띵함, 반신마비, 의식 저하, 지끈거림, 편두통"
언어장애,"균형 안 맞음, 마비, 빙빙 돎, 어지러움, 언어장애, 현기증"
마비,"균형 안 맞음, 마비, 빙빙 돎, 어지러움, 언어장애, 현기증"
어지럼증,"균형 안 맞음, 마비, 빙빙 돎, 어지러움, 언어장애, 현기증"
하지 통증,"보행장애, 쑤심, 아파요, 아픔, 찌릿함, 통증"
보행장애,"보행장애, 쑤심, 아파요, 아픔, 찌릿함, 통증"
요통,"다리 저림, 요통"
다리 저림,"다리 저림, 요통"
허리 통증,"쑤심, 아파요, 아픔, 움직임 제한, 찌릿함, 통증"
움직임 제한,"쑤심, 아파요, 아픔, 움직임 제한, 찌릿함, 통증"
어깨 통증,"쑤심, 아파요, 아픔, 운동 제한, 찌릿함, 통증"
운동 제한,"쑤심, 아파요, 아픔, 운동 제한, 찌릿함, 통증"
어깨 통증,"쑤심, 아파요, 아픔, 찌릿함, 통증, 팔 들기 어려움"
팔 들기 어려움,"쑤심, 아파요, 아픔, 찌릿함, 통증, 팔 들기 어려움"
요통,"쑤심, 아파요, 아픔, 요통, 찌릿함, 통증"
움직일 때 통증,"쑤심, 아파요, 아픔, 요통, 찌릿함, 통증"
손목 부종,"다리 붓기, 몸이 붓는다, 발 붓기, 쑤심, 아파요, 아픔, 찌릿함, 통증"
통증,"다리 붓기, 몸이 붓는다, 발 붓기, 쑤심, 아파요, 아픔, 찌릿함, 통증"
엉덩이 통증,"보행 곤란, 쑤심, 아파요, 아픔, 찌릿함, 통증"
보행 곤란,"보행 곤란, 쑤심, 아파요, 아픔, 찌릿함, 통증"
윗눈꺼풀 처짐,"눈 침침함, 눈이 잘 안 보임, 시야 흐림"
피부 탈색,"가려움, 건조함, 붉은 반점, 피부 발진, 피부 트러블, 하얀 반점"
하얀 반점,"가려움, 건조함, 붉은 반점, 피부 발진, 피부 트러블, 하얀 반점"
피부 비늘,"가려움, 건조함, 붉은 반점, 피부 발진, 피부 트러블"
가려움,"가려움, 건조함, 붉은 반점, 피부 발진, 피부 트러블"
얼굴 붉음,"비듬, 얼굴 붉음"
비듬,"비듬, 얼굴 붉음"
발가락 사이 가려움,"갈라짐, 발가락 사이 가려움"
갈라짐,"갈라짐, 발가락 사이 가려움"
피부 발진,"가려움, 건조함, 붉은 반점, 쑤심, 아파요, 아픔, 찌릿함, 통증, 피부 발진, 피부 트러블"
통증,"가려움, 건조함, 붉은 반점, 쑤심, 아파요, 아픔, 찌릿함, 통증, 피부 발진, 피부 트러블"
가려움,"가려움, 건조함, 붉은 반점, 진물, 피부 발진, 피부 트러블"
진물,"가려움, 건조함, 붉은 반점, 진물, 피부 발진, 피부 트러블"
피부 갈라짐,"가려움, 건조함, 붉은 반점, 진물, 피부 발진, 피부 트러블"
시야 흐림,"눈 침침함, 눈이 잘 안 보임, 빛 번짐, 시야 흐림"
빛 번짐,"눈 침침함, 눈이 잘 안 보임, 빛 번짐, 시야 흐림"
시야 감소,"눈 침침함, 눈이 잘 안 보임, 시야 흐림, 안압 상승"
안압 상승,"눈 침침함, 눈이 잘 안 보임, 시야 흐림, 안압 상승"
눈 충혈,"가려움, 눈 침침함, 눈이 잘 안 보임, 시야 흐림"
가려움,"가려움, 눈 침침함, 눈이 잘 안 보임, 시야 흐림"
중심 시야 흐림,"눈 침침함, 눈이 잘 안 보임, 시야 흐림"
눈 건조함,"눈 침침함, 눈이 잘 안 보임, 시야 흐림, 이물감"
이물감,"눈 침침함, 눈이 잘 안 보임, 시야 흐림, 이물감"
귀에서 소리 느낌,귀에서 소리 느낌
청력 저하,"말귀 못 알아들음, 청력 저하"
말귀 못 알아들음,"말귀 못 알아들음, 청력 저하"
귀 통증,"발열, 쑤심, 아파요, 아픔, 찌릿함, 통증"
발열,"발열, 쑤심, 아파요, 아픔, 찌릿함, 통증"
어지럼증,"균형 문제, 균형 안 맞음, 빙빙 돎, 어지러움, 현기증"
균형 문제,"균형 문제, 균형 안 맞음, 빙빙 돎, 어지러움, 현기증"
이명,"균형 안 맞음, 빙빙 돎, 어지러움, 이명, 청력 저하, 현기증"
어지럼증,"균형 안 맞음, 빙빙 돎, 어지러움, 이명, 청력 저하, 현기증"
청력 저하,"균형 안 맞음, 빙빙 돎, 어지러움, 이명, 청력 저하, 현기증"
